SOC,SOC Title,Statewide,Abilene,Amarillo,Austin-Round Rock,Beaumont-Port Arthur,Brownsville-Harlingen,College Station-Bryan,Corpus Christi,Dallas-Fort Worth-Arlington,El Paso,Houston-The Woodlands-Sugarland,Killeen-Temple,Laredo,Longview,Lubbock,McAllen-Edinburg-Mission,Midland,Odessa,San Angelo,San Antonio-New Braunfels,Sherman-Denison,Texarkana,Tyler,Victoria,waco,Wichita Falls
"    ""00-0000""","Total, All Occupations",22887,21201,22043,25379,21972,19168,21696,21487,23958,19259,23294,21834,19780,21928,21105,20051,27145,25032,20657,23118,21531,21136,21447,21285,22057,20393
"    ""11-0000""",Management Occupations,57365,44052,50349,58977,52318,36117,51876,46898,62795,49097,61655,50291,46741,45470,53026,43500,65787,53912,44446,59448,51127,42942,41144,47127,49591,41744
"    ""11-1011""",Chief Executives,134756,110009,90448,127876,0,106301,143182,127491,157696,129303,0,113395,0,117570,87029,120349,0,148896,122978,133347,128121,60765,107130,85343,90802,118037
"    ""11-1021""",General and Operations Managers,49353,37330,46792,48282,46440,29135,38408,39930,54750,43830,52986,44259,38403,36574,46172,34748,65740,51301,39654,58107,44553,39117,30077,46951,41230,34285
"    ""11-1031""",Legislators,17524,17154,30938,20794,17763,0,17290,17287,17612,17799,17357,0,0,17528,19201,17500,0,0,25503,31541,17734,20360,0,17668,0,30953
"    ""11-2011""",Advertising and Promotions Managers,71567,0,0,72285,0,0,0,0,75587,58406,76598,47020,0,0,0,54880,0,0,0,69073,0,0,0,0,0,0
"    ""11-2021""",Marketing Managers,89565,63109,66929,90451,0,64931,65609,73790,100554,62258,82074,71215,84217,79150,60792,81406,105465,60855,52035,80267,67574,62769,96211,0,64245,0
"    ""11-2022""",Sales Managers,80213,64420,69286,84802,79722,0,67288,75794,84166,72898,82805,66644,70601,99393,80803,68502,99179,72017,83117,67451,69828,52163,74216,76612,72707,67269
"    ""11-2030""",Public Relations and Fundraising Managers,76383,61895,51879,76436,76563,89041,71567,73858,81292,42841,81178,74279,66515,82330,66412,76751,66098,67591,67432,72564,64253,0,55281,75996,80950,64579
"    ""11-3010""",Administrative Services and Facilities Managers,60207,53433,52368,73164,53867,46533,59504,63006,63388,55402,60569,55674,60094,53175,48141,49963,63442,68331,52635,56896,57894,54796,43180,52775,56741,38089
"    ""11-3021""",Computer and Information Systems Managers,105401,63026,86848,102435,93237,62016,80911,80092,114171,89921,109073,72695,85967,94211,87766,82415,105316,85597,86766,102965,0,73748,84107,91145,73742,82348
"    ""11-3031""",Financial Managers,78087,57629,70010,87319,66702,55386,76720,72926,90529,61282,76389,68793,58323,82567,75645,69388,79409,82193,81462,74435,47667,57014,49024,83401,80768,66836
"    ""11-3051""",Industrial Production Managers,79134,67815,74710,78034,89462,84540,71825,62565,82053,56446,84751,91839,83288,72715,68174,52259,87308,91275,75993,79845,75922,72842,61559,89086,71724,85318
"    ""11-3061""",Purchasing Managers,86888,0,58766,86997,67759,83057,71290,68054,94447,54208,90337,97901,0,0,68226,59255,84289,85007,74204,90054,72709,85886,71854,0,68715,67292
"    ""11-3071""","Transportation, Storage, and Distribution Managers",64657,67337,64749,59485,65151,49518,63814,71278,66787,69496,67085,63351,51660,60798,58691,64872,71998,68347,56574,60467,51641,61299,70266,83244,60659,43212
"    ""11-3111""",Compensation and Benefits Managers,75061,0,0,83579,62726,0,0,83420,80279,76462,81217,75758,0,0,0,0,94720,0,58205,58036,0,0,0,0,0,0
"    ""11-3121""",Human Resources Managers,81816,38014,69668,75754,68621,82185,78409,68056,91340,70291,90372,64904,56317,78649,82107,66464,81248,75999,63795,78010,73476,68713,70829,74690,72004,73999
"    ""11-3131""",Training and Development Managers,81098,0,67658,84276,85336,35675,75440,0,87784,79280,82249,74883,0,0,72606,72991,75243,0,0,73541,0,0,0,0,87534,0
"    ""11-9013""","Farmers, Ranchers, and Other Agricultural Managers",43616,0,0,0,0,0,0,0,36351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"    ""11-9021""",Construction Managers,59462,46351,49132,62503,71273,26611,53805,58572,60328,52189,63314,46461,0,51794,66776,47548,67749,63447,51284,57375,70069,53721,46840,45770,48077,0
"    ""11-9031""","Education and Childcare Administrators, Preschool and Daycare",33529,0,0,31396,0,36440,28403,24348,35704,0,39305,40547,43109,0,0,28693,41682,28223,36100,40850,0,19498,30214,0,0,36896
"    ""11-9032""","Education Administrators, Kindergarten through Secondary",68042,58196,63280,67960,66722,65941,64932,70801,68775,70558,71370,64158,72546,67185,63775,69504,63825,63550,57299,68943,69958,58349,61801,56427,60709,61224
"    ""11-9033""","Education Administrators, Postsecondary",65429,0,56485,75793,0,63658,67497,62174,67826,63816,64891,62993,0,0,0,64510,0,70729,46984,59876,0,0,72137,0,0,0
"    ""11-9039""","Education Administrators, All Other",49803,0,62522,46497,0,0,0,0,52286,49581,53663,44233,0,0,0,47861,59168,0,80685,53645,0,0,50135,0,40919,74968
"    ""11-9041""",Architectural and Engineering Managers,107900,89883,147087,107590,103537,88153,96378,123848,101394,74152,121773,104824,0,103916,90293,0,95209,93193,118237,97418,92185,144115,104406,98659,109545,0
"    ""11-9051""",Food Service Managers,39169,35261,36505,36569,31895,38258,34180,33742,41195,36957,42554,35093,28888,34886,42914,32467,50162,29431,34837,39789,45191,32164,36747,43011,36519,45572
"    ""11-9071""",Gambling Managers,17712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"    ""11-9081""",Lodging Managers,32681,0,40766,36283,60494,34637,28057,40535,30757,41457,38931,33815,0,0,0,29195,35131,36455,27991,0,54492,20810,0,30768,34964,0
"    ""11-9111""",Medical and Health Services Managers,63062,62137,65008,66056,64285,54582,60556,64346,63153,63917,64717,83255,55906,42637,67483,54822,73503,71115,63061,65343,69976,62724,59961,37650,0,62107
"    ""11-9121""",Natural Sciences Managers,85063,0,0,87274,0,0,64998,79110,87240,71476,93665,85977,0,74536,78117,78577,84107,0,0,77140,0,0,0,0,0,0
