SOC,SOC Title,Statewide,Abilene,Amarillo,Austin-Round Rock,Beaumont-Port Arthur,Brownsville-Harlingen,College Station-Bryan,Corpus Christi,Dallas-Fort Worth-Arlington,El Paso,Houston-The Woodlands-Sugarland,Killeen-Temple,Laredo,Longview,Lubbock,McAllen-Edinburg-Mission,Midland,Odessa,San Angelo,San Antonio-New Braunfels,Sherman-Denison,Texarkana,Tyler,Victoria,waco,Wichita Falls
"    ""00-0000""","Total, All Occupations",67159,53796,56405,74060,64181,44707,62179,58057,72299,52995,72279,61063,49796,56999,56007,49151,75239,63652,53452,62722,52367,53173,55792,57121,56772,54647
"    ""11-0000""",Management Occupations,151542,111715,125876,157766,129428,108122,131617,121972,161192,119965,160416,121745,111669,128164,126079,114853,163910,142282,117085,146676,113566,109485,121574,119704,127281,115023
"    ""11-1011""",Chief Executives,291217,237047,226329,291314,0,223055,302598,257878,300405,294284,0,243879,0,239242,258363,296431,0,264019,190058,283971,233999,223931,268321,240890,272321,266341
"    ""11-1021""",General and Operations Managers,153659,107315,134333,154759,126890,109675,123580,114476,166775,118504,163822,115601,96499,122076,131822,110736,174236,148851,121081,162926,114179,113870,122725,121277,123169,111195
"    ""11-1031""",Legislators,56400,48236,38441,93471,48991,0,37462,45236,78473,39559,59908,0,0,46879,50467,46935,0,0,46237,72953,44751,30536,0,51266,0,58939
"    ""11-2011""",Advertising and Promotions Managers,147856,0,0,155095,0,0,0,0,141932,76594,161932,51263,0,0,0,128433,0,0,0,143510,0,0,0,0,0,0
"    ""11-2021""",Marketing Managers,187742,139034,135616,185657,0,136009,209479,168238,183696,139419,203833,165819,156879,195431,118080,171635,200324,148020,120935,182540,158227,125758,182873,0,135029,0
"    ""11-2022""",Sales Managers,181429,149320,143201,190836,175726,0,154541,154488,184939,178037,179776,149922,143663,177816,158346,149652,175570,162875,156016,169539,155389,114335,176251,185743,172357,125899
"    ""11-2030""",Public Relations and Fundraising Managers,148062,112364,104326,162904,127562,119855,135797,118676,149568,116168,148023,132756,136947,150988,133334,142407,131697,108304,110746,143604,103567,0,119664,206394,157241,107577
"    ""11-3010""",Administrative Services and Facilities Managers,120807,91182,103589,128220,122215,105215,112277,119636,126528,102660,123309,100759,106618,108572,112882,98251,122787,143100,102882,109016,121410,110267,87881,101199,103641,88470
"    ""11-3021""",Computer and Information Systems Managers,184314,153049,139803,188771,158319,113441,141515,144835,186194,161214,187710,148690,131775,163498,134136,141366,174043,145542,145268,174093,0,139556,147285,144631,136800,165451
