SOC,SOC Title,Statewide,Abilene,Amarillo,Austin-Round Rock,Beaumont-Port Arthur,Brownsville-Harlingen,College Station-Bryan,Corpus Christi,Dallas-Fort Worth-Arlington,El Paso,Houston-The Woodlands-Sugarland,Killeen-Temple,Laredo,Longview,Lubbock,McAllen-Edinburg-Mission,Midland,Odessa,San Angelo,San Antonio-New Braunfels,Sherman-Denison,Texarkana,Tyler,Victoria,waco,Wichita Falls
"    ""00-0000""","Total, All Occupations",52401,42931,44951,57833,50111,36194,48685,45867,56186,41750,55951,47987,39791,45308,44373,39451,59208,50778,42520,49521,42088,42494,44344,45175,45200,43229
"    ""11-0000""",Management Occupations,120149,89161,100700,124836,103725,84121,105037,96947,128393,96342,127496,97927,90026,100599,101728,91069,131203,112826,92872,117600,92753,87304,94764,95512,101384,90597
"    ""11-1011""",Chief Executives,239063,194701,181036,236835,0,184137,249460,214415,252835,239291,260452,200384,262909,198685,201252,237737,269358,225644,167698,233763,198706,169543,214590,189041,211815,216906
"    ""11-1021""",General and Operations Managers,118890,83986,105153,119266,100073,82828,95190,89627,129433,93613,126876,91821,77134,93576,103272,85406,138071,116334,93939,127987,90970,88952,91842,96502,95856,85558
"    ""11-1031""",Legislators,43441,37875,35940,69245,38582,0,30738,35920,58186,32306,45724,0,0,37095,40045,37124,0,0,39326,59149,35746,27144,0,40067,0,49611
"    ""11-2011""",Advertising and Promotions Managers,122426,0,0,127492,0,0,0,0,119817,70532,133488,49849,0,0,0,103915,0,0,0,118698,0,0,0,0,0,0
"    ""11-2021""",Marketing Managers,155016,113726,112720,153922,0,112316,161522,136755,155982,113699,163247,134284,132659,156671,98984,141559,168704,118965,97969,148449,128009,104762,153986,0,111435,0
"    ""11-2022""",Sales Managers,147690,121020,118562,155491,143725,0,125457,128257,151348,142990,147453,122163,119309,151675,132498,122602,150107,132589,131716,135510,126868,93611,142239,149366,139141,106356
"    ""11-2030""",Public Relations and Fundraising Managers,124169,95541,86844,134081,110563,109584,114387,103737,126809,91725,125741,113263,113470,128102,111027,120522,109831,94733,96308,119924,90463,0,98203,162928,131811,93244
"    ""11-3010""",Administrative Services and Facilities Managers,100607,78599,86516,109868,99432,85654,94686,100759,105481,86907,102395,85731,91110,90106,91302,82155,103005,118177,86133,91643,100238,91777,72981,85058,88008,71676
"    ""11-3021""",Computer and Information Systems Managers,158010,123041,122151,159992,136625,96299,121314,123254,162186,137450,161498,123358,116506,140402,118680,121716,151134,125560,125768,150384,0,117620,126226,126803,115781,137750
"    ""11-3031""",Financial Managers,148857,119577,125826,151756,117256,88990,132484,133729,160379,107341,153990,127115,129644,136928,135055,101102,143259,150132,146369,139586,89127,103125,107638,137802,135328,103177
"    ""11-3051""",Industrial Production Managers,126458,113680,130753,127483,146391,136951,114241,110020,128597,125107,131669,137773,138018,119319,104515,73252,135149,142597,119693,116501,112966,107405,100846,121264,115657,132754
"    ""11-3061""",Purchasing Managers,136887,0,87035,128229,108570,110835,107757,110119,137500,101241,151878,125205,0,0,103686,87136,145305,110543,98283,122696,94199,117441,113346,0,112772,102076
