SOC,SOC Title,Statewide,Abilene,Amarillo,Austin-Round Rock,Beaumont-Port Arthur,Brownsville-Harlingen,College Station-Bryan,Corpus Christi,Dallas-Fort Worth-Arlington,El Paso,Houston-The Woodlands-Sugarland,Killeen-Temple,Laredo,Longview,Lubbock,McAllen-Edinburg-Mission,Midland,Odessa,San Angelo,San Antonio-New Braunfels,Sherman-Denison,Texarkana,Tyler,Victoria,waco,Wichita Falls
"    ""00-0000""","Total, All Occupations",39637,34129,35633,44019,39206,25674,36548,35430,42715,30587,42090,37289,29784,36286,34494,27880,45982,41713,33510,37915,32812,34789,34600,35868,35739,33360
"    ""11-0000""",Management Occupations,104136,75644,85329,108715,89519,71127,89196,85651,114013,84738,111568,87717,81734,91344,86216,81077,113270,99427,77323,101876,83037,76314,80087,82199,86258,79356
"    ""11-1011""",Chief Executives,0,134748,155587,0,0,142754,0,184199,0,0,0,180711,0,184474,179824,0,0,201086,139178,0,168591,155280,0,173686,0,201780
"    ""11-1021""",General and Operations Managers,97674,68552,83745,96237,81346,59009,82371,73514,105396,71714,107308,78705,62415,81682,83048,66478,122263,101411,73691,110307,78773,73485,70279,81533,81470,71277
"    ""11-1031""",Legislators,34261,41978,35065,34269,19846,0,19198,28624,34267,26216,21746,0,0,19166,31865,23202,0,0,36713,51526,21885,20813,0,41940,0,47200
"    ""11-2011""",Advertising and Promotions Managers,115018,0,0,118743,0,0,0,0,110300,64212,132920,49171,0,0,0,92383,0,0,0,121468,0,0,0,0,0,0
"    ""11-2021""",Marketing Managers,143081,101852,98149,144403,0,115271,120005,110594,146260,112145,147496,129231,129655,147686,89476,119821,169295,103384,90215,136749,118478,110762,138958,0,97875,0
"    ""11-2022""",Sales Managers,134284,109004,109215,142888,123576,0,110429,129892,139337,139948,132993,105793,107528,133898,122202,116633,140777,120214,103023,114336,101099,74352,131172,124246,119018,99030
"    ""11-2030""",Public Relations and Fundraising Managers,111420,75386,71809,118616,92086,110364,102623,97656,117513,86449,110356,112364,121436,120425,89737,106762,97116,91648,95644,106305,94385,0,97150,124656,119780,84575
"    ""11-3010""",Administrative Services and Facilities Managers,95098,72915,82763,107030,94062,84442,86623,97127,98683,79779,95786,80578,86460,88032,84879,76455,93330,109549,78554,84923,78121,80028,65179,82504,80372,63099
"    ""11-3021""",Computer and Information Systems Managers,150788,117060,122974,152201,129837,84398,110744,113301,154187,128665,154220,125127,109402,142289,110861,111715,148168,118430,125438,138339,0,110176,111083,133906,102528,129014
"    ""11-3031""",Financial Managers,134031,96078,108689,130982,101844,73516,120341,118708,145537,99266,143841,117056,102537,125427,113807,94186,124399,128539,127296,123281,90367,94979,98938,121626,114285,94797
"    ""11-3051""",Industrial Production Managers,116489,98682,102121,115820,136423,129489,108659,104814,115085,111304,123828,121391,134184,110837,96099,61390,110995,133944,106802,105865,107715,105021,95368,116051,102026,118977
"    ""11-3061""",Purchasing Managers,128680,0,65414,126554,98067,116276,88544,107445,135238,106692,135234,124110,0,0,96077,78630,126889,106498,92577,120002,86888,120948,114758,0,97682,107818
"    ""11-3071""","Transportation, Storage, and Distribution Managers",96293,82435,89465,91221,93656,77257,84924,89360,96340,93009,106569,93438,80480,96625,72817,80865,102091,97362,64574,91252,88200,80611,83647,119363,82830,81326
"    ""11-3111""",Compensation and Benefits Managers,112352,0,0,113647,83814,0,0,110052,119867,94158,116528,119735,0,0,0,0,111774,0,59214,102034,0,0,0,0,0,0
"    ""11-3121""",Human Resources Managers,121875,48681,96550,113674,110368,115439,102890,101470,129744,95905,127762,101079,92754,108764,102076,103254,102061,117494,82571,119232,100502,105812,96627,109586,105563,97437
"    ""11-3131""",Training and Development Managers,115453,0,104849,105934,115874,37543,83828,0,127169,102223,118621,91373,0,0,103382,80823,110313,0,0,101397,0,0,0,0,117563,0
"    ""11-9013""","Farmers, Ranchers, and Other Agricultural Managers",77407,0,0,0,0,0,0,0,83656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"    ""11-9021""",Construction Managers,86295,63863,75757,88588,93463,66108,64693,78974,88584,72134,89753,64539,0,84379,81932,82199,89860,104840,74594,81356,95626,68258,57537,71459,71195,0
"    ""11-9031""","Education and Childcare Administrators, Preschool and Daycare",47864,0,0,39631,0,47215,43208,43606,47626,0,55662,76748,49190,0,0,33953,64417,30519,40155,50559,0,28709,56690,0,0,71371
"    ""11-9032""","Education Administrators, Kindergarten through Secondary",84716,74800,89270,89076,82158,80927,77830,91743,85738,88166,88856,78065,83902,83502,79162,85808,85367,79055,73554,86863,81845,74602,77629,69495,76608,77049
"    ""11-9033""","Education Administrators, Postsecondary",95718,0,84559,110771,0,80674,98463,84765,97625,93866,94838,88025,0,0,0,90568,0,96353,76389,91630,0,0,105697,0,0,0
"    ""11-9039""","Education Administrators, All Other",78227,0,97961,75018,0,0,0,0,71903,61496,79870,48321,0,0,0,91447,80055,0,102125,84647,0,0,76080,0,55809,97504
"    ""11-9041""",Architectural and Engineering Managers,161971,124607,191577,159893,151633,123663,147623,164478,153449,122022,178984,139381,0,144389,127463,0,160396,159315,169165,139669,116957,163574,150254,155070,129883,0
"    ""11-9051""",Food Service Managers,55689,48556,59839,62251,40929,53609,55294,55432,58897,51468,56518,57101,51544,56701,53581,40603,60735,46087,47561,49881,62832,50074,46661,56834,56346,58985
"    ""11-9071""",Gambling Managers,47789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"    ""11-9081""",Lodging Managers,52982,0,49340,54504,61386,53635,35360,57590,53192,55346,60399,39525,0,0,0,36580,37533,49276,43691,0,57990,20821,0,40319,50820,0
"    ""11-9111""",Medical and Health Services Managers,100320,97556,99430,98126,92637,91961,96072,92547,102876,92152,108217,108950,84738,74768,109115,95962,98841,99574,87467,98609,93597,88681,93290,89520,0,93730
"    ""11-9121""",Natural Sciences Managers,122119,0,0,123491,0,0,90274,110059,123272,106438,128789,107809,0,102783,114432,103380,113564,0,0,117647,0,0,0,0,0,0
"    ""11-9131""",Postmasters and Mail Superintendents,80018,86663,0,91260,79071,0,0,87890,85436,0,86247,82358,0,75057,82638,79841,0,0,0,83855,77033,0,0,0,84978,0
"    ""11-9141""","Property, Real Estate, and Community Association Managers",65926,0,0,0,42683,32668,53017,45547,70157,43616,74131,46046,0,53668,58746,0,74712,48267,38771,67278,47443,45449,71807,44736,40495,31631
"    ""11-9151""",Social and Community Service Managers,69021,59283,65603,64951,63150,58533,65033,75479,74751,72251,69831,70378,71868,62361,60011,69590,72211,59857,57525,75326,71618,60666,60470,50108,67527,60524
"    ""11-9161""",Emergency Management Directors,88324,0,0,90942,84945,0,0,65435,95478,92159,99084,0,0,0,0,64642,0,0,0,89481,0,0,0,0,87163,0
"    ""11-9171""",Funeral Home Managers,62680,0,0,0,0,0,0,0,0,0,0,54455,0,0,0,0,0,0,0,0,0,0,0,0,0,61504
"    ""11-9198""","Personal Svc Mgrs, AO; Entertainment & Rec Mgrs, Ex Gambling; & Mgrs, AO",121239,93096,109551,117170,96985,109473,98361,103943,133534,109477,127203,112525,109135,126765,93874,106445,103336,97244,99999,118646,99431,91122,93759,106482,125758,64395
"    ""13-0000""",Business and Financial Operations Occupations,72371,61041,62717,69936,66837,60283,59757,67363,76528,62159,75312,67005,56739,63471,58271,57540,77861,64896,59057,69795,53219,64287,63353,68662,61241,61950
"    ""13-1011""","Agents and Business Managers of Artists, Performers, and Athletes",55785,0,0,51989,0,0,0,0,0,0,85187,0,0,0,0,0,0,0,0,31033,0,0,0,0,0,0
"    ""13-1020""",Buyers and Purchasing Agents,67814,49665,59808,61766,58105,45245,51090,51901,76239,48493,68874,66136,47369,57351,49609,46552,72048,54730,53182,74910,43313,62207,55977,52518,48485,51100
"    ""13-1031""","Claims Adjusters, Examiners, and Investigators",68870,0,71506,55295,0,0,0,72939,72703,72532,80669,57918,78768,0,60439,0,0,76813,74674,64985,85087,81078,73572,0,66021,56441
"    ""13-1032""","Insurance Appraisers, Auto Damage",65521,0,0,0,0,0,0,0,64051,0,64379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"    ""13-1041""",Compliance Officers,73985,55340,58220,60603,63352,84406,59497,52021,74090,86947,88233,65656,65640,51032,59987,79276,70785,51697,65398,66334,69837,61671,54044,48188,59564,64599
"    ""13-1051""",Cost Estimators,65594,66156,53968,73060,77411,61847,65014,67428,61582,45260,73122,60961,67113,65068,63761,49517,73114,59788,67117,63006,47257,60423,62278,63176,58300,56830
"    ""13-1071""",Human Resources Specialists,63299,51830,58728,69437,55473,44704,59175,58148,65146,49193,63703,58852,37845,55390,51788,45491,59337,55257,53966,66875,46900,51325,48839,56256,51164,46914
"    ""13-1075""",Labor Relations Specialists,58244,0,0,51345,104116,23025,0,68165,60342,51910,38361,54216,0,0,0,0,0,0,0,73999,0,0,19270,0,47995,0
"    ""13-1081""",Logisticians,74112,68272,63053,62117,86819,66129,49407,78937,72285,72640,76970,80778,56904,66682,68843,58884,75101,83052,82308,82806,69092,66140,49230,71963,85811,71571
"    ""13-1111""",Management Analysts,89700,75286,65918,87722,105703,42741,79379,79362,93517,76812,94126,73569,63889,93953,56265,72565,99703,101687,76807,82423,72833,65790,54782,172827,76720,70038
